"","B","F","BBmsy","FFmsy","BB0","procB","SPt"
"1992",5534.53226067154,0.149822959554272,2.08857553468376,0.566036091733746,0.768728012552404,0.0145850389222701,0
"1993",5095.94698316358,0.111455241790886,1.92449815444647,0.420700359516174,0.708337149823221,0.00325353658606176,404.669700659821
"1994",5014.08085401557,0.0803158169807161,1.90045894671569,0.302542705959434,0.699489199593345,0.00577613648987363,494.40673698927
"1995",5095.69759654682,0.0719646321298467,1.92802534294746,0.271642857606974,0.709635378477746,0.000224099464007033,484.293795942374
"1996",5184.49936961648,0.0862359063058548,1.96280288459127,0.325117077554378,0.722435715370207,-0.000473945930569819,466.318310943018
"1997",5161.42908322318,0.132906989314902,1.9528663373906,0.500466410541758,0.718778436974306,-0.00297912521501953,430.539103653094
"1998",4852.43140964453,0.153452349498103,1.83639583128596,0.576263576906233,0.675909917645246,-0.00967279618226424,399.499949211809
"1999",4559.64571861976,0.191634187646171,1.72898236368418,0.720268812871414,0.636374961834618,-0.0083592937368504,460.33014249932
"2000",4185.56076913469,0.199524041919063,1.59035355420172,0.748387784548502,0.585350784146885,-0.00768640571278389,515.299108130223
"2001",3893.89322955007,0.222786284676515,1.48746516732598,0.832533937725837,0.547481344500461,-0.00544363688570115,571.577264751525
"2002",3635.36563071507,0.262755963823639,1.38508873681758,0.986077186623755,0.509800337206246,-0.00586627467799117,601.317175249149
"2003",3317.00148766077,0.300509060492083,1.26146590246472,1.1283020391575,0.464299308308789,-0.000133222239711905,646.926297545558
"2004",3015.01472539908,0.335876303193229,1.13844941597703,1.26821303935962,0.419021453810132,0.00227895835871461,685.450734793008
"2005",2706.20701764589,0.294325971954021,1.01802582865819,1.11765758222969,0.374697950347255,0.00201313225068978,698.08277042265
"2006",2601.0281918491,0.26634467200454,0.978599972941963,1.01079804190903,0.360186739617927,-0.00158340333367146,693.864602701522
"2007",2591.96319822151,0.304106555999986,0.976180800010302,1.15290162942927,0.359296330835054,-0.00287460178550969,688.997083351965
"2008",2483.52713214023,0.275924104527089,0.940152144761583,1.04332460359173,0.346035504935129,-0.00276988780361265,688.173471153082
"2009",2490.79973053454,0.308938125605896,0.943128534052122,1.16795756912207,0.347131004612255,-0.00085235932660721,690.889362229143
"2010",2420.06539902238,0.297844844994342,0.915098106707034,1.12545977893912,0.336814032902995,0.000618501282841688,695.835743061808
"2011",2412.46211299128,0.328513345760394,0.912213489879501,1.24205028603565,0.335752311301846,0.00502102320140585,712.527341346797
"2012",2312.57869546991,0.317382498770185,0.870617491158505,1.20398267052739,0.320442350567404,-0.00103790952696681,690.957911827526
"2013",2263.75592355655,0.315503978983318,0.85238943071606,1.19777182846109,0.313733270410183,0.0000344370449498754,687.721035432438
"2014",2234.93136107148,0.35778727558108,0.838274088471394,1.3622375797034,0.308537930902444,-0.00191750577039018,682.185486523104
"2015",2119.05127331802,0.396806821331823,0.788146389402165,1.52481045955886,0.29008776434663,-0.00324932633489494,679.433616020849
"2016",1969.76889633332,0.380696944467221,0.731244004211696,1.46518413330319,0.269144084431513,0.00413637030963221,695.662849718823
"2017",1882.47175519651,0.392254491105925,0.699977584317146,1.51287033352451,0.257636062611845,0.00257013153573604,668.855847883152
"2018",1790.06748937903,0.295696113796888,0.664300646396588,1.14330726071809,0.244504690953899,-0.000250604019586653,640.040463269012
"2019",1881.09557659382,0.345600196316919,0.699739712369037,1.33328443490398,0.257548510676626,0.00103309891957881,604.42421456419
"2020",1866.89852408089,0.374473487852137,0.699088292117739,1.44121668749308,0.257308746786453,0.0000420904775131348,617.680936560771
"2021",1809.51432795259,0.327712246068808,0.681267547035068,1.25500199672725,0.250749584466437,-0.000773268867453325,602.428729057077
